episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
130,337721350.16524696,0.7176,0.7176,511291127.3828981,0.6674,0.6674,15533841.857809741,0.6694,0.6694,499677050.99801224,-0.0,52433743.116160244,0.4316
131,354594190.9117843,0.7055,0.7055,536405185.26786804,0.6638,0.6638,11451492.207282005,0.6559,0.6559,509238132.0824331,-0.0,51689889.891148716,0.4317
132,372142057.88660395,0.7069,0.7069,559488976.5212159,0.6627,0.6627,9700089.884012172,0.6609,0.6609,537550247.7774698,-0.0,32610475.05427301,0.4316
133,383858463.8662252,0.7147,0.7147,567692022.9567229,0.6719,0.6719,14782108.163912896,0.6634,0.6634,544956170.3714387,-0.0,46303021.79769831,0.4312
134,344271624.88356334,0.7275,0.7275,504813604.1944293,0.6835,0.6835,16489865.807105862,0.677,0.677,509832319.8155483,-0.0,69137369.50851002,0.4312
135,326733488.1226235,0.7346,0.7346,459367151.5140483,0.6918,0.6918,37041504.96789592,0.6881,0.6881,508161322.4102396,-0.0,147103923.72852644,0.4312
136,275021061.3071158,0.7453,0.7453,377664203.9286678,0.704,0.704,60901139.538880266,0.6951,0.6951,432539077.1854168,-0.0,193609282.0868707,0.4312
137,231270066.52009276,0.7473,0.7473,312283237.1564465,0.7105,0.7105,91682543.10114439,0.698,0.698,346812899.3480063,-0.0,231400622.0074482,0.4316
138,158737480.8905392,0.7441,0.7441,206269855.96460947,0.7127,0.7127,111272965.73509343,0.6938,0.6938,238169786.88025495,-0.0,259802140.9415064,0.4317
139,83000341.51064152,0.7451,0.7451,91819323.29270095,0.7113,0.7113,122805857.425984,0.6929,0.6929,117387486.29195422,-0.0,274597868.34767437,0.4316
140,166970374.66257,0.7417,0.7417,172394319.8869304,0.708,0.708,121080731.14596221,0.6955,0.6955,250623717.14643854,-0.0,268571839.2270048,0.4312
141,286316274.5950279,0.7429,0.7429,304552729.41084635,0.7119,0.7119,113313378.50361146,0.7016,0.7016,448291380.01304716,-0.0,269993215.53206235,0.4312
142,381672286.86620986,0.7395,0.7395,445022696.2395163,0.7085,0.7085,105377836.11417197,0.6997,0.6997,622014598.1540328,-0.0,258798619.64749432,0.4312
143,440538419.18802345,0.7367,0.7367,518166532.6661554,0.706,0.706,84389512.97990884,0.6971,0.6971,696443150.6732322,-0.0,225313432.53885767,0.4312
144,478236276.61107403,0.7374,0.7374,587335154.376507,0.7068,0.7068,74201044.4467019,0.701,0.701,740616783.3777909,-0.0,177785813.33164623,0.4316
145,533319405.22176415,0.7366,0.7366,639996796.678028,0.7045,0.7045,56574430.53628318,0.7028,0.7028,787572127.6336322,-0.0,127495102.80383696,0.4317
146,556011570.773667,0.7341,0.7341,665191347.5286462,0.6969,0.6969,44652743.35927995,0.7022,0.7022,801195811.5010529,-0.0,92275305.4933169,0.4316
147,582552451.6521822,0.7394,0.7394,686079549.1475089,0.6983,0.6983,46210135.763832256,0.7049,0.7049,842330204.3957881,-0.0,108337409.88962036,0.4312
